5.043563359000473,
5.1455602570003975,
5.247598612999354,
5.349716291999357,
5.451831418000438,
5.553876440999375,
5.655942348999815,
5.758015183999305,
5.86041390399987,
5.962537363999218,
6.064561293000224,
6.1665917840000475,
6.268710869000643,
6.370822557999418,
6.472850861999177,
6.574911977999363,
6.676952678000816,
6.779102701000738,
6.881310795999525,
6.983386182999311,
7.085429225999178,
7.187633988000016,
7.289876353999716,
7.391797627000415,
7.493984471999283,
7.596468294999795,
7.698947274999227,
7.801462295999954,
7.903892681999423,
8.006643380000241,
8.108964234999803,
8.211419568000565,
8.31386672500048,
8.416286850999313,
8.518641403999936,
8.620999134000158,
8.72350868600006,
8.826011989000108,
8.92857742600063,
9.03125578000072,
9.134207466999214,
9.236742226999922,
9.33931964399926,
9.441853884000011,
9.543943958000455,
9.64604408500054,
9.74807212899941,
9.850174547000279,
9.952326549000645,
10.05525057900013,
10.157413205000921,
10.2593808849997,
10.36144710500048,
10.463545877999422,
10.565888451999854,
10.667972797000402,
10.770086570000785,
10.872225185999923,
10.974229792000187,
11.07630319999953,
11.178335254000558,
11.280382463999558,
11.382422955999573,
11.48437662499964,
11.586394721000033,
11.688454742999966,
11.790438359999825,
11.892433539000194,
11.994413509999504,
12.096418273000381,
12.198433867999483,
12.300419463999788,
12.402714694000679,
12.505081590999907,
12.607501039999988,
12.709454136000204,
12.811587283000335,
12.913601784999628,
13.015540038000836,
13.117636049999419,
13.219692009999562,
13.321752448999177,
13.423785492999741,
13.525958120000723,
13.628476108999166,
13.730951183000798,
13.832994331000009,
13.935080081999331,
14.037393333999717,
14.139337418999276,
14.241560775000835,
14.343645954000749,
14.445745507000538,
14.548201413999777,
14.650985393000155,
14.752978020000228,
14.85495470999922,
14.956940669999312,
15.059017515999585,
15.16161243299939,
15.263968027000374,
15.366451433999828,
15.468931663999683,
15.57128382100018,
15.673666185999537,
15.776215477999358,
15.878660030999526,
15.981066927999564,
16.083465282999896,
16.186082125999746,
16.288492772999234,
16.390958107000188,
16.493308650000472,
16.595690649999597,
16.698176349000278,
16.800672150999162,
16.9034514949999,
17.005463027999212,
17.107583831999364,
17.20956250100062,
17.311597366999194,
17.413636348999717,
17.51555585099959,
17.617520718000378,
17.719481991000066,
17.821543993000887,
17.92353255799935,
18.025494142999378,
18.127480208000634,
18.229439762000766,
18.331422650000604,
18.433495328999925,
18.535508581000613,
18.63805297699946,
18.74060065500089,
18.843011041000864,
18.945485958000063,
19.04790733399932,
19.150451937999605,
19.252918210000644,
19.356025417000637,
19.45889986399925,
19.56107368800076,
19.663013920000594,
19.76478316199973,
19.86660084200048,
19.96841758499977,
20.07031755599928,
20.172129298000073,
20.27397572799964,
20.37602564699955,
20.478138795000632,
20.58023293199949,
20.68227701700016,
20.784314227999857,
20.886338833999616,
20.988394272999358,
21.09037554600036,
21.192341506999583,
21.294370904999596,
21.39628249099951,
21.498633502000303,
21.601103315000728,
21.703612035000333,
21.80627887800074,
21.908702337999785,
22.011385067000447,
22.11349524599973,
22.215571361999537,
22.31758997900033,
22.419719793000695,
22.52182674300093,
22.6239584319992,
22.725959548999526,
22.828046343000096,
22.93025407300047,
23.032587793000857,
23.135302658,
23.237897209999574,
23.34040410600028,
23.4430488149992,
23.54556060700088,
23.648033388999465,
23.750542837000467,
23.8530360879995,
23.955525432000286,
24.058027328999742,
24.16080557799978,
24.26325612099936,
24.365749475000484,
24.46821527800057,
24.57072321600026,
24.673167404000196,
24.77557612400051,
24.878171821999786,
24.980230750999908,
25.08230322199961,
25.184275693000018,
25.286327279000034,
25.38843292599995,
25.490535085000374,
25.592594794999968,
25.69465976600077,
25.796693487000084,
25.89872512399961,
26.000751917999878,
26.10284772200066,
26.20542894100072,
26.30747292200067,
26.409313101999942,
26.5110815120006,
26.612823515000855,
26.7146397359993,
26.816384448000463,
26.918203221999647,
27.020435170999917,
27.122912901000745,
27.225309850000485,
27.327799037999284,
27.43029520500022,
27.532911737000177,
27.635342956000386,
27.738148237000132,
27.84068799799934,
27.943457236999166,
